TITLE: Asking a stranger for a lighter to have a cigarette
DESCRIPTION: A tourist is playing the role of a stranger who needs a lighter to smoke a cigarette, and the conversation partner is playing the role of a local who has a lighter.
WORDS:
火|huǒ|fire
打火机|dǎhuǒjī|lighter
吸烟|xīyān|smoking
烟|yān|cigarette
烟草|yāncaǎo|tobacco
抽|chōu|pull
烟头|yāntóu|cigarette butt
扔|rēng|throw
烟草烟草|yāncaǎo yāncaǎo|tobacco/tobacco
烟草烟头|yāncaǎo yāntóu|tobacco/cigarette butt
烟草烟头|yāncaǎo yāntóu|tobacco/cigarette butt
吸烟者|xīyānzhě|smoker
吸烟物|xīyānwu|smoking stuff
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīyān wùpǐn|smoking items
吸烟物品|xīy
